Cohort,ferretID,DPI,Sample,Virus,Titer
F17,1787,d02,1787_d02,A/Hong Kong/1073/1999 (H9N2),3162277.66
F17,1787,d04,1787_d04,A/Hong Kong/1073/1999 (H9N2),562341.33
F17,1787,d06,1787_d06,A/Hong Kong/1073/1999 (H9N2),31622.78
F17,1787,d08,1787_d08,A/Hong Kong/1073/1999 (H9N2),316.23
F17,1787,d10,1787_d10,A/Hong Kong/1073/1999 (H9N2),10
F17,1787,d12,1787_d12,A/Hong Kong/1073/1999 (H9N2),10
F17,1787,d14,1787_d14,A/Hong Kong/1073/1999 (H9N2),10
F17,1789,d02,1789_d02,A/Hong Kong/1073/1999 (H9N2),1778279.41
F17,1789,d04,1789_d04,A/Hong Kong/1073/1999 (H9N2),3162277.66
F17,1789,d06,1789_d06,A/Hong Kong/1073/1999 (H9N2),56234.13
F17,1789,d08,1789_d08,A/Hong Kong/1073/1999 (H9N2),562.34
F17,1789,d10,1789_d10,A/Hong Kong/1073/1999 (H9N2),10
F17,1789,d12,1789_d12,A/Hong Kong/1073/1999 (H9N2),10
F17,1789,d14,1789_d14,A/Hong Kong/1073/1999 (H9N2),10
F17,1793,d02,1793_d02,A/Hong Kong/1073/1999 (H9N2),3162.28
F17,1793,d04,1793_d04,A/Hong Kong/1073/1999 (H9N2),100000
F17,1793,d06,1793_d06,A/Hong Kong/1073/1999 (H9N2),31622.78
F17,1793,d08,1793_d08,A/Hong Kong/1073/1999 (H9N2),3162.28
F17,1793,d10,1793_d10,A/Hong Kong/1073/1999 (H9N2),316.23
F17,1793,d12,1793_d12,A/Hong Kong/1073/1999 (H9N2),10
F17,1793,d14,1793_d14,A/Hong Kong/1073/1999 (H9N2),10
F17,1794,d02,1794_d02,A/Hong Kong/1073/1999 (H9N2),31622.78
F17,1794,d04,1794_d04,A/Hong Kong/1073/1999 (H9N2),31622.78
F17,1794,d06,1794_d06,A/Hong Kong/1073/1999 (H9N2),316227.77
F17,1794,d08,1794_d08,A/Hong Kong/1073/1999 (H9N2),31622.78
F17,1794,d10,1794_d10,A/Hong Kong/1073/1999 (H9N2),316.23
F17,1794,d12,1794_d12,A/Hong Kong/1073/1999 (H9N2),10
F17,1794,d14,1794_d14,A/Hong Kong/1073/1999 (H9N2),10
F17,1795,d02,1795_d02,A/Hong Kong/1073/1999 (H9N2),10
F17,1795,d04,1795_d04,A/Hong Kong/1073/1999 (H9N2),5623.41
F17,1795,d06,1795_d06,A/Hong Kong/1073/1999 (H9N2),100000
F17,1795,d08,1795_d08,A/Hong Kong/1073/1999 (H9N2),17782.79
F17,1795,d10,1795_d10,A/Hong Kong/1073/1999 (H9N2),1778.28
F17,1795,d12,1795_d12,A/Hong Kong/1073/1999 (H9N2),10
F17,1795,d14,1795_d14,A/Hong Kong/1073/1999 (H9N2),10
F17,1796,d02,1796_d02,A/Hong Kong/1073/1999 (H9N2),10
F17,1796,d04,1796_d04,A/Hong Kong/1073/1999 (H9N2),10
F17,1796,d06,1796_d06,A/Hong Kong/1073/1999 (H9N2),31622.78
F17,1796,d08,1796_d08,A/Hong Kong/1073/1999 (H9N2),316227.77
F17,1796,d10,1796_d10,A/Hong Kong/1073/1999 (H9N2),3162.28
F17,1796,d12,1796_d12,A/Hong Kong/1073/1999 (H9N2),10
F17,1796,d14,1796_d14,A/Hong Kong/1073/1999 (H9N2),10
F17,1797,d02,1797_d02,A/Hong Kong/1073/1999 (H9N2),10
F17,1797,d04,1797_d04,A/Hong Kong/1073/1999 (H9N2),10
F17,1797,d06,1797_d06,A/Hong Kong/1073/1999 (H9N2),10
F17,1797,d08,1797_d08,A/Hong Kong/1073/1999 (H9N2),10
F17,1797,d10,1797_d10,A/Hong Kong/1073/1999 (H9N2),10
F17,1797,d12,1797_d12,A/Hong Kong/1073/1999 (H9N2),10
F17,1797,d14,1797_d14,A/Hong Kong/1073/1999 (H9N2),10
F17,1800,d02,1800_d02,A/Hong Kong/1073/1999 (H9N2),316227.77
F17,1800,d04,1800_d04,A/Hong Kong/1073/1999 (H9N2),56234.13
F17,1800,d06,1800_d06,A/Hong Kong/1073/1999 (H9N2),3162.28
F17,1800,d08,1800_d08,A/Hong Kong/1073/1999 (H9N2),10
F17,1800,d10,1800_d10,A/Hong Kong/1073/1999 (H9N2),10
F17,1800,d12,1800_d12,A/Hong Kong/1073/1999 (H9N2),10
F17,1800,d14,1800_d14,A/Hong Kong/1073/1999 (H9N2),10
F17,1801,d02,1801_d02,A/Hong Kong/1073/1999 (H9N2),316227.77
F17,1801,d04,1801_d04,A/Hong Kong/1073/1999 (H9N2),1778279.41
F17,1801,d06,1801_d06,A/Hong Kong/1073/1999 (H9N2),5623.41
F17,1801,d08,1801_d08,A/Hong Kong/1073/1999 (H9N2),10
F17,1801,d10,1801_d10,A/Hong Kong/1073/1999 (H9N2),10
F17,1801,d12,1801_d12,A/Hong Kong/1073/1999 (H9N2),10
F17,1801,d14,1801_d14,A/Hong Kong/1073/1999 (H9N2),10
F17,1802,d02,1802_d02,A/Hong Kong/1073/1999 (H9N2),10
F17,1802,d04,1802_d04,A/Hong Kong/1073/1999 (H9N2),10
F17,1802,d06,1802_d06,A/Hong Kong/1073/1999 (H9N2),10
F17,1802,d08,1802_d08,A/Hong Kong/1073/1999 (H9N2),10
F17,1802,d10,1802_d10,A/Hong Kong/1073/1999 (H9N2),10
F17,1802,d12,1802_d12,A/Hong Kong/1073/1999 (H9N2),10
F17,1802,d14,1802_d14,A/Hong Kong/1073/1999 (H9N2),10
F17,1803,d02,1803_d02,A/Hong Kong/1073/1999 (H9N2),10
F17,1803,d04,1803_d04,A/Hong Kong/1073/1999 (H9N2),316.23
F17,1803,d06,1803_d06,A/Hong Kong/1073/1999 (H9N2),316227.77
F17,1803,d08,1803_d08,A/Hong Kong/1073/1999 (H9N2),3162.28
F17,1803,d10,1803_d10,A/Hong Kong/1073/1999 (H9N2),10
F17,1803,d12,1803_d12,A/Hong Kong/1073/1999 (H9N2),10
F17,1803,d14,1803_d14,A/Hong Kong/1073/1999 (H9N2),10
F17,1805,d02,1805_d02,A/Hong Kong/1073/1999 (H9N2),10
F17,1805,d04,1805_d04,A/Hong Kong/1073/1999 (H9N2),10
F17,1805,d06,1805_d06,A/Hong Kong/1073/1999 (H9N2),10
F17,1805,d08,1805_d08,A/Hong Kong/1073/1999 (H9N2),10
F17,1805,d10,1805_d10,A/Hong Kong/1073/1999 (H9N2),10
F17,1805,d12,1805_d12,A/Hong Kong/1073/1999 (H9N2),10
F17,1805,d14,1805_d14,A/Hong Kong/1073/1999 (H9N2),10
Sp19,2233,d00,2233_d00,A/Hong Kong/1073/1999 (H9N2),10
Sp19,2233,d02,2233_d02,A/Hong Kong/1073/1999 (H9N2),1.78E+07
Sp19,2233,d04,2233_d04,A/Hong Kong/1073/1999 (H9N2),5.62E+04
Sp19,2233,d06,2233_d06,A/Hong Kong/1073/1999 (H9N2),5.62E+04
Sp19,2233,d08,2233_d08,A/Hong Kong/1073/1999 (H9N2),0.00E+00
Sp19,2233,d10,2233_d10,A/Hong Kong/1073/1999 (H9N2),0.00E+00
Sp19,2233,d12,2233_d12,A/Hong Kong/1073/1999 (H9N2),0.00E+00
Sp19,2233,d14,2233_d14,A/Hong Kong/1073/1999 (H9N2),10
Sp19,2232,d00,2232_d00,A/Hong Kong/1073/1999 (H9N2),10
Sp19,2232,d02,2232_d02,A/Hong Kong/1073/1999 (H9N2),10
Sp19,2232,d04,2232_d04,A/Hong Kong/1073/1999 (H9N2),3.16E+06
Sp19,2232,d06,2232_d06,A/Hong Kong/1073/1999 (H9N2),5.62E+05
Sp19,2232,d08,2232_d08,A/Hong Kong/1073/1999 (H9N2),5.62E+05
Sp19,2232,d10,2232_d10,A/Hong Kong/1073/1999 (H9N2),10
Sp19,2232,d12,2232_d12,A/Hong Kong/1073/1999 (H9N2),10
Sp19,2232,d14,2232_d14,A/Hong Kong/1073/1999 (H9N2),0.00E+00
Sp19,2234,d00,2234_d00,A/Hong Kong/1073/1999 (H9N2),3.16E+06
Sp19,2234,d02,2234_d02,A/Hong Kong/1073/1999 (H9N2),5.62E+04
Sp19,2234,d04,2234_d04,A/Hong Kong/1073/1999 (H9N2),5.62E+05
Sp19,2234,d06,2234_d06,A/Hong Kong/1073/1999 (H9N2),5.62E+04
Sp19,2234,d08,2234_d08,A/Hong Kong/1073/1999 (H9N2),0.00E+00
Sp19,2234,d10,2234_d10,A/Hong Kong/1073/1999 (H9N2),10
Sp19,2234,d12,2234_d12,A/Hong Kong/1073/1999 (H9N2),0
Sp19,2234,d14,2234_d14,A/Hong Kong/1073/1999 (H9N2),0.00E+00
Sp19,2235,d00,2235_d00,A/Hong Kong/1073/1999 (H9N2),10
Sp19,2235,d02,2235_d02,A/Hong Kong/1073/1999 (H9N2),10
Sp19,2235,d04,2235_d04,A/Hong Kong/1073/1999 (H9N2),10
Sp19,2235,d06,2235_d06,A/Hong Kong/1073/1999 (H9N2),10
Sp19,2235,d08,2235_d08,A/Hong Kong/1073/1999 (H9N2),1.78E+02
Sp19,2235,d10,2235_d10,A/Hong Kong/1073/1999 (H9N2),10
Sp19,2235,d12,2235_d12,A/Hong Kong/1073/1999 (H9N2),10
Sp19,2235,d14,2235_d14,A/Hong Kong/1073/1999 (H9N2),10
Sp19,2240,d00,2240_d00,A/Hong Kong/1073/1999 (H9N2),10
Sp19,2240,d02,2240_d02,A/Hong Kong/1073/1999 (H9N2),3.16E+06
Sp19,2240,d04,2240_d04,A/Hong Kong/1073/1999 (H9N2),3.16E+05
Sp19,2240,d06,2240_d06,A/Hong Kong/1073/1999 (H9N2),5.62E+04
Sp19,2240,d08,2240_d08,A/Hong Kong/1073/1999 (H9N2),0.00E+00
Sp19,2240,d10,2240_d10,A/Hong Kong/1073/1999 (H9N2),0.00E+00
Sp19,2240,d12,2240_d12,A/Hong Kong/1073/1999 (H9N2),0.00E+00
Sp19,2240,d14,2240_d14,A/Hong Kong/1073/1999 (H9N2),0.00E+00
Sp19,2239,d00,2239_d00,A/Hong Kong/1073/1999 (H9N2),0.00E+00
Sp19,2239,d02,2239_d02,A/Hong Kong/1073/1999 (H9N2),0.00E+00
Sp19,2239,d04,2239_d04,A/Hong Kong/1073/1999 (H9N2),5.62E+02
Sp19,2239,d06,2239_d06,A/Hong Kong/1073/1999 (H9N2),1.78E+06
Sp19,2239,d08,2239_d08,A/Hong Kong/1073/1999 (H9N2),5.62E+05
Sp19,2239,d10,2239_d10,A/Hong Kong/1073/1999 (H9N2),3.16E+02
Sp19,2239,d12,2239_d12,A/Hong Kong/1073/1999 (H9N2),0.00E+00
Sp19,2239,d14,2239_d14,A/Hong Kong/1073/1999 (H9N2),0.00E+00
Sp19,2251,d00,2251_d00,A/Hong Kong/1073/1999 (H9N2),1.00E+01
Sp19,2251,d02,2251_d02,A/Hong Kong/1073/1999 (H9N2),3.16E+07
Sp19,2251,d04,2251_d04,A/Hong Kong/1073/1999 (H9N2),1.78E+05
Sp19,2251,d06,2251_d06,A/Hong Kong/1073/1999 (H9N2),5.62E+04
Sp19,2251,d08,2251_d08,A/Hong Kong/1073/1999 (H9N2),1.00E+01
Sp19,2251,d10,2251_d10,A/Hong Kong/1073/1999 (H9N2),1.00E+01
Sp19,2251,d12,2251_d12,A/Hong Kong/1073/1999 (H9N2),1.00E+01
Sp19,2251,d14,2251_d14,A/Hong Kong/1073/1999 (H9N2),1.00E+01
Sp19,2253,d00,2253_d00,A/Hong Kong/1073/1999 (H9N2),1.00E+01
Sp19,2253,d02,2253_d02,A/Hong Kong/1073/1999 (H9N2),3.16E+07
Sp19,2253,d04,2253_d04,A/Hong Kong/1073/1999 (H9N2),1.78E+05
Sp19,2253,d06,2253_d06,A/Hong Kong/1073/1999 (H9N2),5.62E+05
Sp19,2253,d08,2253_d08,A/Hong Kong/1073/1999 (H9N2),1.00E+01
Sp19,2253,d10,2253_d10,A/Hong Kong/1073/1999 (H9N2),1.00E+01
Sp19,2253,d12,2253_d12,A/Hong Kong/1073/1999 (H9N2),1.00E+01
Sp19,2253,d14,2253_d14,A/Hong Kong/1073/1999 (H9N2),1.00E+01
Sp19,2254,d00,2254_d00,A/Hong Kong/1073/1999 (H9N2),1.00E+01
Sp19,2254,d02,2254_d02,A/Hong Kong/1073/1999 (H9N2),1.00E+07
Sp19,2254,d04,2254_d04,A/Hong Kong/1073/1999 (H9N2),3.16E+06
Sp19,2254,d06,2254_d06,A/Hong Kong/1073/1999 (H9N2),3.16E+06
Sp19,2254,d08,2254_d08,A/Hong Kong/1073/1999 (H9N2),1.78E+02
Sp19,2254,d10,2254_d10,A/Hong Kong/1073/1999 (H9N2),1.00E+01
Sp19,2254,d12,2254_d12,A/Hong Kong/1073/1999 (H9N2),1.00E+01
Sp19,2254,d14,2254_d14,A/Hong Kong/1073/1999 (H9N2),1.00E+01
Sp19,2244,d00,2244_d00,A/Hong Kong/1073/1999 (H9N2),1.00E+01
Sp19,2244,d02,2244_d02,A/Hong Kong/1073/1999 (H9N2),
Sp19,2244,d04,2244_d04,A/Hong Kong/1073/1999 (H9N2),
Sp19,2244,d06,2244_d06,A/Hong Kong/1073/1999 (H9N2),
Sp19,2244,d08,2244_d08,A/Hong Kong/1073/1999 (H9N2),
Sp19,2244,d10,2244_d10,A/Hong Kong/1073/1999 (H9N2),
Sp19,2244,d12,2244_d12,A/Hong Kong/1073/1999 (H9N2),
Sp19,2244,d14,2244_d14,A/Hong Kong/1073/1999 (H9N2),
Sp19,2243,d00,2243_d00,A/Hong Kong/1073/1999 (H9N2),
Sp19,2243,d02,2243_d02,A/Hong Kong/1073/1999 (H9N2),
Sp19,2243,d04,2243_d04,A/Hong Kong/1073/1999 (H9N2),
Sp19,2243,d06,2243_d06,A/Hong Kong/1073/1999 (H9N2),
Sp19,2243,d08,2243_d08,A/Hong Kong/1073/1999 (H9N2),
Sp19,2243,d10,2243_d10,A/Hong Kong/1073/1999 (H9N2),
Sp19,2243,d12,2243_d12,A/Hong Kong/1073/1999 (H9N2),
Sp19,2243,d14,2243_d14,A/Hong Kong/1073/1999 (H9N2),
Sp19,2246,d00,2246_d00,A/Hong Kong/1073/1999 (H9N2),
Sp19,2246,d02,2246_d02,A/Hong Kong/1073/1999 (H9N2),
Sp19,2246,d04,2246_d04,A/Hong Kong/1073/1999 (H9N2),
Sp19,2246,d06,2246_d06,A/Hong Kong/1073/1999 (H9N2),
Sp19,2246,d08,2246_d08,A/Hong Kong/1073/1999 (H9N2),
Sp19,2246,d10,2246_d10,A/Hong Kong/1073/1999 (H9N2),
Sp19,2246,d12,2246_d12,A/Hong Kong/1073/1999 (H9N2),
Sp19,2246,d14,2246_d14,A/Hong Kong/1073/1999 (H9N2),
W19,2695,d02,2695_d02,A/Memphis/257/2019 (H3N2),316227.766
W19,2696,d02,2696_d02,A/Memphis/257/2019 (H3N2),316227.766
W19,2697,d02,2697_d02,A/Memphis/257/2019 (H3N2),100000
W19,2699,d02,2699_d02,A/Memphis/257/2019 (H3N2),562341.3252
W19,2700,d02,2700_d02,A/Memphis/257/2019 (H3N2),1778279.41
W19,2701,d02,2701_d02,A/Memphis/257/2019 (H3N2),3162277.66
