index_sample,index_ferretID,index_DPI,contact_sample,contact_ferretID,contact_DPI,bottleneck_size,conf_int_left,conf_int_right,smallest_timepoint
1408_d02,1408,d02,1409_d04,1409,d04,200,92,200,yes
1408_d04,1408,d04,1409_d04,1409,d04,101,60,164,no
1414_d04,14141,d04,1415_d02,1415,d02,26,11,61,yes
1414_d06,1414,d06,1415_d02,1415,d02,3,2,8,no
1416_d02,1416,d02,1410_d02,1410,d02,81,39,160,yes
1416_d04,1416,d04,1410_d02,1410,d02,51,25,107,no
1789_d02,1789,d02,1794_d02,1784,d02,2,2,6,yes
1789_d04,1789,d04,1794_d02,1784,d02,2,2,4,no
1801_d02,1801,d02,1797_d02,1797,d02,2,2,6,yes
1801_d04,1801,d04,1797_d02,1797,d02,2,2,5,no
1912_d02,1912,d02,1914_d06,1914,d06,2,2,4,yes
1912_d04,1912,d04,1914_d06,1914,d06,2,2,4,no
1912_d06,1912,d06,1914_d06,1914,d06,2,2,4,no
1970_d02,1970,d02,1981_d10,1981,d10,2,2,5,yes
1973_d02,1973,d02,1986_d10,1986,d10,5,3,9,yes
1973_d06,1973,d06,1986_d10,1986,d10,7,3,14,no
2233_d04,2233,d04,2232_d02,2232,d02,4,2,8,yes
2240_d04,2240,d04,2239_d04,2239,d04,1,1,1,yes
2253_d04,2253,d04,2231_d04,2231,d04,2,2,4,yes
2253_d08,2253,d08,2231_d04,2231,d04,1,1,2,no