"name","STRAIN","segment","avg_coverage","above_cutoff","SegmentSize","percent_above","segment_count","quality"
"1408_d02","H9N2","H9N2_NP",19177.9362057448,1497,1497,100,8,"good"
"1408_d02","H9N2","H9N2_MP",17755.2387983707,982,982,100,8,"good"
"1408_d02","H9N2","H9N2_PB2",4840.69451754386,2280,2280,100,8,"good"
"1408_d02","H9N2","H9N2_PB1",8394.64119455424,2277,2277,100,8,"good"
"1408_d02","H9N2","H9N2_NA",15855.5292022792,1404,1404,100,8,"good"
"1408_d02","H9N2","H9N2_PA",9281.71478382148,2151,2151,100,8,"good"
"1408_d02","H9N2","H9N2_HA",17767.4096850862,1683,1683,100,8,"good"
"1408_d02","H9N2","H9N2_NS",26470.9618055556,864,864,100,8,"good"
"1408_d04","H9N2","H9N2_HA",16036.9019607843,1683,1683,100,8,"good"
"1408_d04","H9N2","H9N2_NS",26034.7887731481,864,864,100,8,"good"
"1408_d04","H9N2","H9N2_PB2",7422.51030701754,2280,2280,100,8,"good"
"1408_d04","H9N2","H9N2_NA",13623.3009259259,1404,1404,100,8,"good"
"1408_d04","H9N2","H9N2_PA",8928.75685727569,2151,2151,100,8,"good"
"1408_d04","H9N2","H9N2_PB1",10293.1543697848,2277,2277,100,8,"good"
"1408_d04","H9N2","H9N2_NP",17800.24749499,1497,1497,100,8,"good"
"1408_d04","H9N2","H9N2_MP",20844.7479633401,982,982,100,8,"good"
"1409_d04","H9N2","H9N2_PA",8777.23547187355,2151,2151,100,8,"good"
"1409_d04","H9N2","H9N2_HA",15484.5932857992,1683,1683,100,8,"good"
"1409_d04","H9N2","H9N2_PB2",6919.1673245614,2280,2280,100,8,"good"
"1409_d04","H9N2","H9N2_NA",13498.733974359,1404,1404,100,8,"good"
"1409_d04","H9N2","H9N2_PB1",9455.45630215195,2277,2277,100,8,"good"
"1409_d04","H9N2","H9N2_MP",19399.2138492872,982,982,100,8,"good"
"1409_d04","H9N2","H9N2_NS",23038.7361111111,864,864,100,8,"good"
"1409_d04","H9N2","H9N2_NP",18709.746492986,1497,1497,100,8,"good"
"1409_d06","H9N2","H9N2_NA",7088.71296296296,1404,1404,100,8,"good"
"1409_d06","H9N2","H9N2_NS",16966.5202546296,864,864,100,8,"good"
"1409_d06","H9N2","H9N2_MP",13685.7515274949,982,982,100,8,"good"
"1409_d06","H9N2","H9N2_NP",8525.87441549766,1497,1497,100,8,"good"
"1409_d06","H9N2","H9N2_HA",9846.40582293523,1683,1683,100,8,"good"
"1409_d06","H9N2","H9N2_PA",5548.86866573687,2151,2151,100,8,"good"
"1409_d06","H9N2","H9N2_PB1",5911.59661835749,2277,2277,100,8,"good"
"1409_d06","H9N2","H9N2_PB2",6482.80614035088,2280,2280,100,8,"good"
"1409_d08","H9N2","H9N2_PB1",12100.1161616162,2277,2277,100,8,"good"
"1409_d08","H9N2","H9N2_NS",22051.7644675926,864,864,100,8,"good"
"1409_d08","H9N2","H9N2_NA",15883.0918803419,1404,1404,100,8,"good"
"1409_d08","H9N2","H9N2_PA",13127.049511855,2151,2151,100,8,"good"
"1409_d08","H9N2","H9N2_MP",23962.3029531568,982,982,100,8,"good"
"1409_d08","H9N2","H9N2_PB2",12641.1236842105,2280,2280,100,8,"good"
"1409_d08","H9N2","H9N2_HA",18148.6779560309,1683,1683,100,8,"good"
"1409_d08","H9N2","H9N2_NP",21663.0841683367,1497,1497,100,8,"good"
"1410_d02","H9N2","H9N2_PB2",7631.35460526316,2280,2280,100,8,"good"
"1410_d02","H9N2","H9N2_MP",18148.617107943,982,982,100,8,"good"
"1410_d02","H9N2","H9N2_PA",8279.63412366341,2151,2151,100,8,"good"
"1410_d02","H9N2","H9N2_NS",24332.224537037,864,864,100,8,"good"
"1410_d02","H9N2","H9N2_NP",16944.6229124916,1497,1497,100,8,"good"
"1410_d02","H9N2","H9N2_PB1",9552.22156346069,2277,2277,100,8,"good"
"1410_d02","H9N2","H9N2_NA",12499.1018518519,1404,1404,100,8,"good"
"1410_d02","H9N2","H9N2_HA",13259.8458110517,1683,1683,100,8,"good"
"1410_d04","H9N2","H9N2_NS",17564.0763888889,864,864,100,8,"good"
"1410_d04","H9N2","H9N2_HA",6495.14289958408,1683,1683,100,8,"good"
"1410_d04","H9N2","H9N2_PA",3535.48814504881,2151,2151,100,8,"good"
"1410_d04","H9N2","H9N2_MP",11957.7067209776,982,982,100,8,"good"
"1410_d04","H9N2","H9N2_NP",8033.27822311289,1497,1497,100,8,"good"
"1410_d04","H9N2","H9N2_PB2",2513.0475877193,2280,2280,100,8,"good"
"1410_d04","H9N2","H9N2_NA",7693.22613960114,1404,1404,100,8,"good"
"1410_d04","H9N2","H9N2_PB1",4586.60496267018,2277,2277,100,8,"good"
"1410_d06","H9N2","H9N2_HA",5314.36066547831,1683,1683,100,8,"good"
"1410_d06","H9N2","H9N2_NS",12675.2424768519,864,864,100,8,"good"
"1410_d06","H9N2","H9N2_PB2",1825.9350877193,2280,2280,100,8,"good"
"1410_d06","H9N2","H9N2_PB1",NA,2276,2277,99.9560825647782,8,"good"
"1410_d06","H9N2","H9N2_PA",NA,2140,2151,99.488609948861,8,"good"
"1410_d06","H9N2","H9N2_NA",5188.49643874644,1404,1404,100,8,"good"
"1410_d06","H9N2","H9N2_NP",6475.30360721443,1497,1497,100,8,"good"
"1410_d06","H9N2","H9N2_MP",6016.44195519348,982,982,100,8,"good"
"1412_d08","H9N2","H9N2_MP",15223.0885947047,982,982,100,8,"good"
"1412_d08","H9N2","H9N2_NP",15488.0617902472,1497,1497,100,8,"good"
"1412_d08","H9N2","H9N2_PB1",6341.75230566535,2277,2277,100,8,"good"
"1412_d08","H9N2","H9N2_PB2",3743.68092105263,2280,2280,100,8,"good"
"1412_d08","H9N2","H9N2_HA",12845.9275103981,1683,1683,100,8,"good"
"1412_d08","H9N2","H9N2_PA",6255.09739655974,2151,2151,100,8,"good"
"1412_d08","H9N2","H9N2_NA",13857.3044871795,1404,1404,100,8,"good"
"1412_d08","H9N2","H9N2_NS",21181.2303240741,864,864,100,8,"good"
"1414_d04","H9N2","H9N2_MP",5065.31619144603,982,982,100,8,"good"
"1414_d04","H9N2","H9N2_PB1",NA,1241,2277,54.5015371102328,8,"good"
"1414_d04","H9N2","H9N2_PB2",961.200438596491,2208,2280,96.8421052631579,8,"good"
"1414_d04","H9N2","H9N2_PA",1254.3740120874,2151,2151,100,8,"good"
"1414_d04","H9N2","H9N2_NP",2443.4378757515,1497,1497,100,8,"good"
"1414_d04","H9N2","H9N2_NA",2491.16025641026,1404,1404,100,8,"good"
"1414_d04","H9N2","H9N2_HA",2635.76351752822,1683,1683,100,8,"good"
"1414_d04","H9N2","H9N2_NS",10460.9143518519,864,864,100,8,"good"
"1414_d06","H9N2","H9N2_HA",14611.0525846702,1683,1683,100,8,"good"
"1414_d06","H9N2","H9N2_NP",17459.0263861055,1497,1497,100,8,"good"
"1414_d06","H9N2","H9N2_NA",13333.5811965812,1404,1404,100,8,"good"
"1414_d06","H9N2","H9N2_NS",19293.3888888889,864,864,100,8,"good"
"1414_d06","H9N2","H9N2_PB2",8869.24166666667,2280,2280,100,8,"good"
"1414_d06","H9N2","H9N2_MP",19116.4047861507,982,982,100,8,"good"
"1414_d06","H9N2","H9N2_PA",9294.77870757787,2151,2151,100,8,"good"
"1414_d06","H9N2","H9N2_PB1",8948.08212560387,2277,2277,100,8,"good"
"1415_d02","H9N2","H9N2_NP",19074.6947227789,1497,1497,100,8,"good"
"1415_d02","H9N2","H9N2_NA",13471.0128205128,1404,1404,100,8,"good"
"1415_d02","H9N2","H9N2_MP",19523.9862525458,982,982,100,8,"good"
"1415_d02","H9N2","H9N2_NS",22209.5821759259,864,864,100,8,"good"
"1415_d02","H9N2","H9N2_HA",15326.0469399881,1683,1683,100,8,"good"
"1415_d02","H9N2","H9N2_PB2",8747.49934210526,2280,2280,100,8,"good"
"1415_d02","H9N2","H9N2_PA",10386.7933519293,2151,2151,100,8,"good"
"1415_d02","H9N2","H9N2_PB1",11203.639657444,2277,2277,100,8,"good"
"1415_d08","H9N2","H9N2_PB1",6573.4411506368,2277,2277,100,8,"good"
"1415_d08","H9N2","H9N2_HA",15062.2988710636,1683,1683,100,8,"good"
"1415_d08","H9N2","H9N2_NP",13563.084502338,1497,1497,100,8,"good"
"1415_d08","H9N2","H9N2_PA",6940.35820548582,2151,2151,100,8,"good"
"1415_d08","H9N2","H9N2_PB2",3678.61469298246,2280,2280,100,8,"good"
"1415_d08","H9N2","H9N2_MP",14717.0203665988,982,982,100,8,"good"
"1415_d08","H9N2","H9N2_NA",13198.7443019943,1404,1404,100,8,"good"
"1415_d08","H9N2","H9N2_NS",24585.9971064815,864,864,100,8,"good"
"1416_d02","H9N2","H9N2_PB2",9125.29627192982,2280,2280,100,8,"good"
"1416_d02","H9N2","H9N2_NS",24956.9728009259,864,864,100,8,"good"
"1416_d02","H9N2","H9N2_PA",10330.6287773129,2151,2151,100,8,"good"
"1416_d02","H9N2","H9N2_HA",16137.8654188948,1683,1683,100,8,"good"
"1416_d02","H9N2","H9N2_NP",20199.3824315297,1497,1497,100,8,"good"
"1416_d02","H9N2","H9N2_PB1",11094.8939393939,2277,2277,100,8,"good"
"1416_d02","H9N2","H9N2_MP",21357.1211812627,982,982,100,8,"good"
"1416_d02","H9N2","H9N2_NA",15377.9797008547,1404,1404,100,8,"good"
"1416_d04","H9N2","H9N2_PB1",5613.93675889328,2277,2277,100,8,"good"
"1416_d04","H9N2","H9N2_PA",5242.20827522083,2151,2151,100,8,"good"
"1416_d04","H9N2","H9N2_PB2",3864.84320175439,2280,2280,100,8,"good"
"1416_d04","H9N2","H9N2_MP",13052.8009164969,982,982,100,8,"good"
"1416_d04","H9N2","H9N2_NP",8051.93820975284,1497,1497,100,8,"good"
"1416_d04","H9N2","H9N2_NS",19632.8877314815,864,864,100,8,"good"
"1416_d04","H9N2","H9N2_HA",8830.5430778372,1683,1683,100,8,"good"
"1416_d04","H9N2","H9N2_NA",7486.38176638177,1404,1404,100,8,"good"
"1417_d08","H9N2","H9N2_HA",8989.45811051693,1683,1683,100,8,"good"
"1417_d08","H9N2","H9N2_NP",11100.2167668671,1497,1497,100,8,"good"
"1417_d08","H9N2","H9N2_PA",4905.1529521153,2151,2151,100,8,"good"
"1417_d08","H9N2","H9N2_NS",16740.994212963,864,864,100,8,"good"
"1417_d08","H9N2","H9N2_PB2",2816.93596491228,2280,2280,100,8,"good"
"1417_d08","H9N2","H9N2_MP",9787.60641547861,982,982,100,8,"good"
"1417_d08","H9N2","H9N2_NA",8223.77742165242,1404,1404,100,8,"good"
"1417_d08","H9N2","H9N2_PB1",4044.73166447079,2277,2277,100,8,"good"
"1417_d12","H9N2","H9N2_PB2",6156.52324561403,2280,2280,100,8,"good"
"1417_d12","H9N2","H9N2_NS",24073.541087963,864,864,100,8,"good"
"1417_d12","H9N2","H9N2_PA",7961.49976754998,2151,2151,100,8,"good"
"1417_d12","H9N2","H9N2_NA",12448.9138176638,1404,1404,100,8,"good"
"1417_d12","H9N2","H9N2_PB1",9081.18620992534,2277,2277,100,8,"good"
"1417_d12","H9N2","H9N2_NP",17346.4305277221,1497,1497,100,8,"good"
"1417_d12","H9N2","H9N2_HA",12136.1013071895,1683,1683,100,8,"good"
"1417_d12","H9N2","H9N2_MP",19215.6889002037,982,982,100,8,"good"
"1789_d02","H9N2","H9N2_MP",16776.7815682281,982,982,100,8,"good"
"1789_d02","H9N2","H9N2_PB1",10160.7944664032,2277,2277,100,8,"good"
"1789_d02","H9N2","H9N2_PB2",8052.8125,2280,2280,100,8,"good"
"1789_d02","H9N2","H9N2_NP",18557.4505678023,1497,1497,100,8,"good"
"1789_d02","H9N2","H9N2_PA",9880.17689446769,2151,2151,100,8,"good"
"1789_d02","H9N2","H9N2_NS",19805.1059027778,864,864,100,8,"good"
"1789_d02","H9N2","H9N2_HA",16427.3226381462,1683,1683,100,8,"good"
"1789_d02","H9N2","H9N2_NA",16505.0185185185,1404,1404,100,8,"good"
"1789_d04","H9N2","H9N2_NS",17670.7667824074,864,864,100,8,"good"
"1789_d04","H9N2","H9N2_MP",14883.3615071283,982,982,100,8,"good"
"1789_d04","H9N2","H9N2_PA",7180.06276150628,2151,2151,100,8,"good"
"1789_d04","H9N2","H9N2_NA",14201.1061253561,1404,1404,100,8,"good"
"1789_d04","H9N2","H9N2_PB1",7803.94993412385,2277,2277,100,8,"good"
"1789_d04","H9N2","H9N2_NP",14067.1118904476,1497,1497,100,8,"good"
"1789_d04","H9N2","H9N2_PB2",6083.04166666667,2280,2280,100,8,"good"
"1789_d04","H9N2","H9N2_HA",12248.0320855615,1683,1683,100,8,"good"
"1794_d02","H9N2","H9N2_NS",3339.01446759259,863,864,99.8842592592593,8,"good"
"1794_d02","H9N2","H9N2_NP",1073.35003340013,1491,1497,99.5991983967936,8,"good"
"1794_d02","H9N2","H9N2_HA",1059.42008318479,1653,1683,98.2174688057041,8,"good"
"1794_d02","H9N2","H9N2_PB2",242.470614035088,1722,2280,75.5263157894737,8,"good"
"1794_d02","H9N2","H9N2_MP",1281.51120162933,982,982,100,8,"good"
"1794_d02","H9N2","H9N2_PB1",NA,1487,2277,65.3052261747914,8,"good"
"1794_d02","H9N2","H9N2_PA",792.427243142724,2151,2151,100,8,"good"
"1794_d02","H9N2","H9N2_NA",1969.32727920228,1404,1404,100,8,"good"
"1794_d04","H9N2","H9N2_NS",13497.3732638889,864,864,100,8,"good"
"1794_d04","H9N2","H9N2_PB2",NA,2279,2280,99.9561403508772,8,"good"
"1794_d04","H9N2","H9N2_PA",NA,2150,2151,99.953509995351,8,"good"
"1794_d04","H9N2","H9N2_PB1",NA,2276,2277,99.9560825647782,8,"good"
"1794_d04","H9N2","H9N2_NA",NA,1403,1404,99.9287749287749,8,"good"
"1794_d04","H9N2","H9N2_HA",2515.1357694593,1676,1683,99.5840760546643,8,"good"
"1794_d04","H9N2","H9N2_MP",14769.5127291242,982,982,100,8,"good"
"1794_d04","H9N2","H9N2_NP",15776.4151636607,1497,1497,100,8,"good"
"1794_d06","H9N2","H9N2_NP",19143.6496325985,1497,1497,100,8,"good"
"1794_d06","H9N2","H9N2_MP",18425.2143584521,982,982,100,8,"good"
"1794_d06","H9N2","H9N2_PB1",11281.8249890206,2277,2277,100,8,"good"
"1794_d06","H9N2","H9N2_NS",18542.7997685185,864,864,100,8,"good"
"1794_d06","H9N2","H9N2_PA",7993.73012552301,2151,2151,100,8,"good"
"1794_d06","H9N2","H9N2_NA",16348.5683760684,1404,1404,100,8,"good"
"1794_d06","H9N2","H9N2_HA",16315.6339869281,1683,1683,100,8,"good"
"1794_d06","H9N2","H9N2_PB2",10938.9581140351,2280,2280,100,8,"good"
"1794_d08","H9N2","H9N2_MP",20249.08401222,982,982,100,8,"good"
"1794_d08","H9N2","H9N2_HA",16278.0445632799,1683,1683,100,8,"good"
"1794_d08","H9N2","H9N2_NA",15904.8956552707,1404,1404,100,8,"good"
"1794_d08","H9N2","H9N2_PB2",8042.13135964912,2280,2280,100,8,"good"
"1794_d08","H9N2","H9N2_PB1",12231.3023715415,2277,2277,100,8,"good"
"1794_d08","H9N2","H9N2_PA",11137.1285448629,2151,2151,100,8,"good"
"1794_d08","H9N2","H9N2_NP",19608.5731462926,1497,1497,100,8,"good"
"1794_d08","H9N2","H9N2_NS",19337.3206018519,864,864,100,8,"good"
"1794_d10","H9N2","H9N2_NA",993.331908831909,1387,1404,98.7891737891738,8,"good"
"1794_d10","H9N2","H9N2_PB2",324.983552631579,1993,2280,87.4122807017544,8,"good"
"1794_d10","H9N2","H9N2_PB1",448.931927975406,2194,2277,96.354852876592,8,"good"
"1794_d10","H9N2","H9N2_MP",1332.67515274949,982,982,100,8,"good"
"1794_d10","H9N2","H9N2_NS",2216.40625,861,864,99.6527777777778,8,"good"
"1794_d10","H9N2","H9N2_NP",564.157982631931,1482,1497,98.997995991984,8,"good"
"1794_d10","H9N2","H9N2_HA",1032.334818776,1657,1683,98.4551396316102,8,"good"
"1794_d10","H9N2","H9N2_PA",341.073221757322,2147,2151,99.814039981404,8,"good"
"1797_d02","H9N2","H9N2_PB2",NA,2279,2280,99.9561403508772,8,"good"
"1797_d02","H9N2","H9N2_NP",4049.88810955244,1497,1497,100,8,"good"
"1797_d02","H9N2","H9N2_PB1",2431.78458498024,2277,2277,100,8,"good"
"1797_d02","H9N2","H9N2_PA",NA,2149,2151,99.907019990702,8,"good"
"1797_d02","H9N2","H9N2_NS",11073.2731481481,864,864,100,8,"good"
"1797_d02","H9N2","H9N2_NA",3207.73896011396,1404,1404,100,8,"good"
"1797_d02","H9N2","H9N2_HA",5651.65953654189,1683,1683,100,8,"good"
"1797_d02","H9N2","H9N2_MP",6436.20926680244,982,982,100,8,"good"
"1797_d04","H9N2","H9N2_NA",12387.7247150997,1404,1404,100,8,"good"
"1797_d04","H9N2","H9N2_NP",19224.2431529726,1497,1497,100,8,"good"
"1797_d04","H9N2","H9N2_NS",18643.7835648148,864,864,100,8,"good"
"1797_d04","H9N2","H9N2_MP",19550.2968431772,982,982,100,8,"good"
"1797_d04","H9N2","H9N2_HA",13902.3273915627,1683,1683,100,8,"good"
"1797_d04","H9N2","H9N2_PB2",9741.1875,2280,2280,100,8,"good"
"1797_d04","H9N2","H9N2_PA",9338.85681078568,2151,2151,100,8,"good"
"1797_d04","H9N2","H9N2_PB1",11280.1403162055,2277,2277,100,8,"good"
"1797_d06","H9N2","H9N2_PB2",11292.9780701754,2280,2280,100,8,"good"
"1797_d06","H9N2","H9N2_PB1",12210.3050065876,2277,2277,100,8,"good"
"1797_d06","H9N2","H9N2_MP",20256.9373727088,982,982,100,8,"good"
"1797_d06","H9N2","H9N2_PA",10025.6450488145,2151,2151,100,8,"good"
"1797_d06","H9N2","H9N2_NA",17897.4383903134,1404,1404,100,8,"good"
"1797_d06","H9N2","H9N2_HA",16669.7834224599,1683,1683,100,8,"good"
"1797_d06","H9N2","H9N2_NS",18911.9878472222,864,864,100,8,"good"
"1797_d06","H9N2","H9N2_NP",19389.8062792251,1497,1497,100,8,"good"
"1797_d08","H9N2","H9N2_PB1",10162.7389108476,2277,2277,100,8,"good"
"1797_d08","H9N2","H9N2_NS",20064.9797453704,864,864,100,8,"good"
"1797_d08","H9N2","H9N2_PA",9987.94839609484,2151,2151,100,8,"good"
"1797_d08","H9N2","H9N2_HA",14851.7445038622,1683,1683,100,8,"good"
"1797_d08","H9N2","H9N2_NP",17677.1239144957,1497,1497,100,8,"good"
"1797_d08","H9N2","H9N2_PB2",8576.14407894737,2280,2280,100,8,"good"
"1797_d08","H9N2","H9N2_MP",19898.7601832994,982,982,100,8,"good"
"1797_d08","H9N2","H9N2_NA",15311.3190883191,1404,1404,100,8,"good"
"1800_d02","H9N2","H9N2_PB2",7620.96337719298,2280,2280,100,8,"good"
"1800_d02","H9N2","H9N2_NP",19319.1917167669,1497,1497,100,8,"good"
"1800_d02","H9N2","H9N2_NA",16004.5865384615,1404,1404,100,8,"good"
"1800_d02","H9N2","H9N2_HA",15432.3903743316,1683,1683,100,8,"good"
"1800_d02","H9N2","H9N2_PB1",10259.088493632,2277,2277,100,8,"good"
"1800_d02","H9N2","H9N2_PA",9856.5460251046,2151,2151,100,8,"good"
"1800_d02","H9N2","H9N2_MP",18458.8548879837,982,982,100,8,"good"
"1800_d02","H9N2","H9N2_NS",20429.4890046296,864,864,100,8,"good"
"1800_d04","H9N2","H9N2_PA",7106.08809855881,2151,2151,100,8,"good"
"1800_d04","H9N2","H9N2_HA",13556.0350564468,1683,1683,100,8,"good"
"1800_d04","H9N2","H9N2_MP",15935.1624236253,982,982,100,8,"good"
"1800_d04","H9N2","H9N2_NA",13712.1014957265,1404,1404,100,8,"good"
"1800_d04","H9N2","H9N2_NP",14635.8186372745,1497,1497,100,8,"good"
"1800_d04","H9N2","H9N2_PB2",5916.27390350877,2280,2280,100,8,"good"
"1800_d04","H9N2","H9N2_PB1",7910.87198067633,2277,2277,100,8,"good"
"1800_d04","H9N2","H9N2_NS",18430.1712962963,864,864,100,8,"good"
"1800_d06","H9N2","H9N2_NA",16602.4273504274,1404,1404,100,8,"good"
"1800_d06","H9N2","H9N2_NP",16406.0998663995,1497,1497,100,8,"good"
"1800_d06","H9N2","H9N2_PB1",7815.00197628458,2277,2277,100,8,"good"
"1800_d06","H9N2","H9N2_NS",23095.0549768519,864,864,100,8,"good"
"1800_d06","H9N2","H9N2_HA",17933.233808675,1683,1683,100,8,"good"
"1800_d06","H9N2","H9N2_PA",8895.93723849372,2151,2151,100,8,"good"
"1800_d06","H9N2","H9N2_PB2",5845.1451754386,2280,2280,100,8,"good"
"1800_d06","H9N2","H9N2_MP",17617.3080448065,982,982,100,8,"good"
"1801_d02","H9N2","H9N2_MP",21379.6710794297,982,982,100,8,"good"
"1801_d02","H9N2","H9N2_PA",8194.47629009763,2151,2151,100,8,"good"
"1801_d02","H9N2","H9N2_NS",23451.6232638889,864,864,100,8,"good"
"1801_d02","H9N2","H9N2_PB1",8024.51778656126,2277,2277,100,8,"good"
"1801_d02","H9N2","H9N2_HA",16327.0894236482,1683,1683,100,8,"good"
"1801_d02","H9N2","H9N2_NA",17213.5865384615,1404,1404,100,8,"good"
"1801_d02","H9N2","H9N2_NP",20871.7828991316,1497,1497,100,8,"good"
"1801_d02","H9N2","H9N2_PB2",5633.87521929825,2280,2280,100,8,"good"
"1801_d04","H9N2","H9N2_PB1",6575.67523056653,2277,2277,100,8,"good"
"1801_d04","H9N2","H9N2_PB2",5743.08311403509,2280,2280,100,8,"good"
"1801_d04","H9N2","H9N2_HA",14563.3612596554,1683,1683,100,8,"good"
"1801_d04","H9N2","H9N2_NS",20437.7418981481,864,864,100,8,"good"
"1801_d04","H9N2","H9N2_NA",14205.8985042735,1404,1404,100,8,"good"
"1801_d04","H9N2","H9N2_PA",7254.9109716411,2151,2151,100,8,"good"
"1801_d04","H9N2","H9N2_NP",16733.9482297929,1497,1497,100,8,"good"
"1801_d04","H9N2","H9N2_MP",15724.2113034623,982,982,100,8,"good"
"1910_d02","H9N2","H9N2_PB2",4665.12346491228,2280,2280,100,8,"good"
"1910_d02","H9N2","H9N2_PB1",5790.22353974528,2277,2277,100,8,"good"
"1910_d02","H9N2","H9N2_HA",10770.9539512775,1683,1683,100,8,"good"
"1910_d02","H9N2","H9N2_NS",15985.7928240741,864,864,100,8,"good"
"1910_d02","H9N2","H9N2_PA",5884.2389586239,2151,2151,100,8,"good"
"1910_d02","H9N2","H9N2_NA",10472.1730769231,1404,1404,100,8,"good"
"1910_d02","H9N2","H9N2_NP",12706.839011356,1497,1497,100,8,"good"
"1910_d02","H9N2","H9N2_MP",13283.8650712831,982,982,100,8,"good"
"1912_d02","H9N2","H9N2_NA",17330.9024216524,1404,1404,100,8,"good"
"1912_d02","H9N2","H9N2_NP",19299.5143620574,1497,1497,100,8,"good"
"1912_d02","H9N2","H9N2_PB2",6277.59802631579,2280,2280,100,8,"good"
